odai_type,odai,response,score
text,野球教室。子どもたちが「え～っ！」槙原寛己さん、何と言った？,まずボクの車洗って！,4.0
text,空手教室に道場破りが登場。「でも、こいつには勝てそう・・・」 その理由とは？,折れたバットと割れた瓦を持ってきて「俺がやった！」と豪語,2.6666666666666665
text,報道特番「アホアホ警察24時」そのワンシーンとは？,犯人をホシと言った後照れる,2.6666666666666665
text,すし職人が主人公のハリウッドアクション映画「NIGIRI-ZUSHI」ってどんなの？,高層ビルの窓から落ちそうになりかんぴょうにつかまる,2.6666666666666665
text,「大物女優か！」とちょくちょくつっこまれる小学４年生・西園寺しずか。卒業式で何をした？,卒業生に「ちょっとそこのあーた」と声をかけた,2.6666666666666665
text,蛭子さん主演のドラマ「ホストの帝王」、どんなセリフがありそう？,頭痛くなる香水つけてるね,4.0
text,この予備校じゃ受かる気がしない…。その理由とは？,間接照明,4.0
text,教室にある書道作品。「この小学生大人びてるな…」何と書いてあった？,折衷案,2.6666666666666665
text,イケてない男子があこがれる高校生活のワンシーンとは？,後ろの席の女子に指で背中に「スキ」と書かれる,2.6666666666666665
text,スポーツバーでサッカー観戦。「こいつウザいなあ」何してた？,「あの選手阪神で言うと誰？」と聞いてくる,4.0
text,このサンタクロース、トナカイにナメられてるな～。どうして？,角に吸いかけのタバコはさまってる,4.0
text,10文字作文。テーマは「考えられへん！」,申し訳ごあっ僕大盛で,4.0
text,桃太郎にイヌ、サル、キジが「イラッ」その理由とは？,女の子を前にした時だけ執拗に可愛がってくる,4.0
text,いよいよサッカーＷ杯。「代表チームに聞くことか！」,誰か余分にカサ持ってる人いない？,4.0
text,この「大人のためのピアノ教室」ダメだなぁ…なぜ？,ピアノを弾き始めたら隣の壁からドンドンドンドン,2.6666666666666665
text,女子バレー中継。川合俊一さんが会場でリポート。「ちゃんとやってください」何と言った？,こんばんは！銀座のアタッカーこと川合俊一です,2.6666666666666665
text,ボクシングジム。「あの新入りナメられたくなくて必死だな」その理由とは？,シャーオラーを連発,2.6666666666666665
text,山下さんがクイズ番組に出演。「はあ？」何と言った？,えっ！？携帯で検索しちゃダメなのっ！？,2.6666666666666665
text,２３年間売れていない演歌歌手・下積長子のクリスマスとは？,雨が夜更け過ぎに雪へと変わって舌打ち,2.6666666666666665
text,Ｆ１レーサーがチームにイラッ！なぜ？,ビデオ片手に結婚式のお祝い映像をくれと言われた,4.0
text,近所から「ファンタジーよね」と言われている家族。お正月に何してる？,子どもたちが絵馬を見て「これ叶えようよ！」とはしゃいでいる,4.0
text,刑事ドラマ。ボスが「いま言うことか！」。刑事、何と報告した？,ボス！昨日からシャンプー変えました,2.6666666666666665
text,デパートのイケメンエレベーター。自動音声のひと言に女性客がメロメロ！？何と言った？,利用階数の数だけ「大好き」って言ってあげる,3.3333333333333335
text,キャストが全員“元力士”「東京ドスコイーランド」ってどんなの？,すべての場内放送が「ただ今の◯◯についてご説明します」で始まる,4.0
text,侍同士の一騎打ち。「こいつには勝てそう」なぜ？,「待てーい！」と馬を追いかけながらやって来た,4.0
text,「派手だなあ！」ハリウッド版の桃太郎とは？,鬼がハーレーに乗って登場,2.6666666666666665
text,動物ドキュメンタリー番組。ナレーションに「はあ？」何を言った？,さぁここでナインがいっせいにマウンドへ向かいます,2.6666666666666665
text,緊急家族会議。父親のひと言に「はあ？」何と言った？,「水着のお姉ちゃんが騎馬戦とかやるビデオテープ誰か知らんか？」,2.6666666666666665
text,プロレスラー高山善廣さんが彼女の両親に結婚のあいさつ。両親が「はあ？」何と言った？,よかったらいろんなところのキズ見てみますか？,4.0
text,プロ野球中継。「そんなことで放送席、呼ぶな！」リポーター何と言った？,昨日あの後まっすぐ帰ったんですか？,2.6666666666666665
text,この図書館「なんかイヤ」どうして？,棚の傾きを直すために下に本をはさんでいる,4.0
text,ＮＨＫの人気キャラクターななみちゃんの一言に「やっぱりニセモノだろ！」何と言った？,ＡＤ！一応立ってあいさつしよっか？,2.6666666666666665
text,試合中のピンチ。ピッチャーが「はぁ？」キャッチャー何と言った？,お前元木さんにうまいラーメン屋聞いたって知ってるわけないだろ,4.0
text,渋谷ギャルがアナウンサーに。ドラマ「ギャルアナ」どんなシーンがありそう？,「カラコン高いなあいうえおカラコン高いなあいうえお」,4.0
text,恋愛ゲーム。憧れの女の子キャラ大喜利子との楽しかったデート。別れ際に言うことか？何と言った？,次回デートのテーマを選んでね「ひょう変」「修羅場」「かませ犬」,4.0
text,「この駅伝選手、応援したくない…」その理由とは？,３歩、走って ２歩下がる,-1.3333333333333333
text,上司のツイッターを見て「この人についていくのはやめよう」何と書いてあった？,一人称を「吾輩」と書いている,2.6666666666666665
text,スポーツジムにて。インストラクターがお客にイラッ！その理由とは？,毎回「お前こんなんキツいわけ…ホンマや」をやる,4.0
text,旅番組にて。高田延彦さんのひと言に「はぁ？」何と言った？,この料理は…デテコイヤ３つです！,4.0
text,「最後の一言がそれ？」女性ＤＪエンディングで何を言った？,繰り返します運勢が最悪なのは牡羊座のあなたです Ｓｅｅ ｙｏｕ！,4.0
text,キャストが全員“元力士”「東京ドスコイーランド」ってどんなの？,ここ数年日本人から園長が出ていない,4.0
text,２４年間売れない演歌歌手・下積長子が本を発売。そのタイトルとは？,帯に短し下積み長し,2.6666666666666665
text,お城の舞踏会。王子様が「もう帰ってくれないかな…」シンデレラ何をした？,ターンした隙に料理をさっと食べる,2.6666666666666665
text,サラリーマン川柳ならぬ「セレブ川柳」とは？,私には　買えない物は　私だけ,4.0
text,いまだ自分探し中！？４１歳の春を迎えた逸川ヤル蔵(いつかわ やるぞう)。どんな人？,ガンジス川につかりにインドに20回行った,2.6666666666666665
text,「きょうの料理」にて。あれ？ギャラ下がってたのかな…？土井善晴先生、何と言った？,天ぷらは憎らしいほど 上手に揚がってますわ,0.0
text,中学校の修学旅行にて。バスガイドがイラッ！何があった？,年収ばかり聞いてくる,2.6666666666666665
text,サラリーマン川柳ならぬ「くいしんぼう川柳」とは？,これお昼？セキセイインコかこの女,4.0
text,宮島にて。鹿が観光客にイラっ！どうして？,凶のおみくじをツノにくくりつけられた,4.0
text,上司に気に入られることばかり考えている新入社員「タイコ,上司が何かいうと「深いっすね～」という,2.6666666666666665
text,アホアホ美術館のオーディオガイド。「アルプスを越えるナポレオン」の解説で何と言った？,この絵入り口から何枚目でしょうか？,2.6666666666666665
text,アルバイト情報誌。「なんじゃこのバイト！」何と書いてあった？,窓がなく物音ひとつしない職場です,2.6666666666666665
text,きょうの料理にて。「イヤなことあったのかな…」土井善晴先生何と言った？,えっ！包丁でたたくの１０分もしてますか？,4.0
text,全校生徒からウザいと言われる体育教師・元気田イクゾー。家庭訪問で何をした？,ジャージのすそが観葉植物に引っ掛かり鉢ごと倒した,2.6666666666666665
text,試合中のピンチ。ピッチャーが「はぁ？」キャッチャー何と言った？,神ってないな～,2.6666666666666665
text,サッカーの試合中。「監督、ボクに行かせてください！」「いやムリ！」何があった？,蹴る前に長ったらしいシュート名を付けるから,2.6666666666666665
text,人気アイドルのコンサートなのに客が舌打ち。なぜ？,「チャンピオン」しか歌わない。,2.6666666666666665
text,全校生徒からウザいと言われている体育教師・元気田イクゾー。「チョコもらいたくて必死だな」何をした？,目が合うたび「ん？なになになに！？」と近寄ってくる,2.6666666666666665
text,ラジオのマラソン中継。「その実況いらん！」アナウンサー、何と言った？,何か、ハプニングが欲しいですね～,2.6666666666666665
text,１０文字作文。テーマは「せつない」,じゃあ先生と組もうか,4.0
text,イルカショーのトレーナーが「オレ、イルカになめられてるな・・・」なぜ？,水中でスウェットスーツのチャックをおろされる,2.6666666666666665
text,スポーツジムにて。インストラクターがお客にイラッ！その理由とは？,会っていきなり「チェンジ！」と言われる,2.6666666666666665
text,アホアホ写真展。付いているキャプションに「はぁ？」何と書いてあった？,この子たちは知らない 来年廃校になることを,2.6666666666666665
text,「何じゃその発声練習！」岡本知高さん、何と歌った？,素知らぬふりして　お釣りをごまかす,2.6666666666666665
text,海外旅行。「このツアーコンダクター、ダメだな･･･」その理由とは？,「ネットでは…」で説明が始まる,4.0
text,ちびっこ電話相談室。「電話切ったろかな…」子ども、何と言った？,今、いちばん安定している外貨はどれですか？,2.6666666666666665
text,「来るんじゃなかった…」どんな結婚式？,料理がサプリメント,4.0
text,１０文字作文。テーマは「無理すんな！」,男のファンがうれしい,4.0
text,女の子５人組の「なんてったって戦隊アイドルンジャー」今週のタイトルとは？,「私、彼氏ができましたと言って報道陣に犬の写真を見せる」の巻,2.6666666666666665
text,なんじゃそれ！？月刊「お年玉」の特集とは？,特集！行列のできるスープカレー専門店！,4.0
text,このダイビングインストラクター、イラッとするな～。その理由とは？,魚についての説明がDHＡが多いか少ないかだけ,2.6666666666666665
text,「きょうの料理」にて。「ん？女性アシスタントにフラれたのかな…」土井善晴さん何と言った？,ははは エビまでも逃げていきますわ,4.0
text,自称 相撲界一のオシャレ力士ってどんな人？,国技館のことを「ギカン」と呼ぶ,4.0
text,いまだ自分探し中！？４１歳の春を迎えた逸川ヤル蔵(いつかわ やるぞう)。どんな人？,「ブログはじめました！」で更新が止まっている,2.6666666666666665
text,ウルトラマンが「キミたち邪魔だ・・・」どんな地球防衛軍？,カンペで「はよ倒して！」と出してきた,1.3333333333333333
text,宇宙飛行士たちが「この宇宙船、なんか実家っぽい・・・」どんなの？,船長がずっと甲子園を見てる,4.0
text,戦国武将が「わし家来からナメられてるな・・・」どうして？,「そろそろ家康んとこやっちゃいましょうよ！」と肩を組まれた,2.6666666666666665
text,「このお好み焼き屋さん、ファンタジーだなあ」どんなの？,店を出た後服から花の香りがした,4.0
text,この図書館「なんかイヤ」どうして？,借りるときに「かなり難しい内容の本ですが大丈夫ですか？」,2.6666666666666665
text,番組中。「チコちゃん、恋しているのかな？」何と言った？,今回ばかりは大人から学んだ方がいいわね・・・,2.6666666666666665
text,大相撲。行司が「わしもそろそろ引退かな…」その理由とは？,本日７回目の物言い,2.6666666666666665
text,このアイスクリーム店 ダメだなあ～。なぜ？,ちゅう房から「コンナノアイスジャナイヨ」というトルコ人の声がする,4.0
text,球場にて。ビールの売り子のひと言に「はあ？」何と言った？,お母さんと一緒にビールはいかがえっ彼女なんですか？,3.3333333333333335
text,ダメダメな鉄道の博物館。どんなの？,歴代の車掌の写真しか展示されていない,2.6666666666666665
text,ルームシェア。この人たちとはうまくやっていけそうにない。その理由とは？,「俺の背後に立つな！」と警告される,2.6666666666666665
text,女子アイドルグループ。「ははぁ～ん この子、ソロデビュー決まったな」その理由とは？,メンバーのことを「皆さん」と呼ぶ,2.6666666666666665
text,プロ野球チーム。この優勝パレード、ダメだなぁ。どんなの？,選手たちは動かずファンたちを歩かせる,4.0
text,体操団体。「このチームには勝てる！」その理由とは？,鉄棒の上で「降ろしてくれ降ろして！」,2.6666666666666665
text,この花火大会、お金がなかったのかな・・・その理由とは？,チラシに「花火の持ち込み歓迎」と書かれていた,4.0
text,DJ KOOさんと秀島さんのラジオ番組。ゲストの女性アイドルグループが「はぁ？」○○さん、何と言った？,【DJ KOOさん】オッケー！いったん黙りまーす！,4.0
text,「こんな卒業式いやだ…」その理由とは？,母の着メロが響き渡る。,2.6666666666666665
text,「大物女優かっ！」とちょくちょくつっこまれる小学４年生。何をした？,ありがとうを「ありがと」と言う,4.0
text,ラジオ番組。「ははぁ～ん、このあとデートだな…」女性ＤＪ何と言った？,きょうは世界の中心にいる気分叫んじゃおっかな！秀島史香です,4.0
text,全校生徒からウザいと言われる体育教師・元気田イクゾー。「恋してうかれすぎ！」何をした？,ヨガを授業に取り入れた,2.6666666666666665
text,全校生徒から「なんだか不気味」と言われる恐川貞子先生。卒業式で何をした？,誰も知らない生徒の名前を呼んだ,4.0
text,メルヘンニュース。アナウンサーが読んだニュースとは？,本日の終値は1ドル＝80花びらでした,4.0
text,ランプの魔人が「こいつの願い事かなえたくない」なぜ？,すでに美女数人と湯船でくつろいでいる,0.0
text,ＤＪ ＫＯＯさん。京都のライブで「浮かれてるなあ…」ライブ中に何と叫んだ？,そうだ！京都にいＫＯＯ！,3.3333333333333335
text,「掛布さん、ちゃんと解説して下さい…」何を言った？,モテる選手がエラーすると非常に気持ちがいいですね,4.0
text,「このお好み焼き屋さん、イヤだなあ」その理由とは？,店員がかつおぶしとともに踊りだす,4.0
text,ダメダメドキュメント番組「マグロVS漁師」。どんなシーンがありそう？,ナレーションの鈴木奈々が「うわーマグロ！」とうるさい,2.6666666666666665
text,女性客にカワイイと評判の寿司職人、スメシ・ニギルくんってどんな人？,おすすめを聞かれると「んーとね、んーとね」,2.6666666666666665
text,３０年間売れない演歌歌手・下積長子が「もしかして運が向いてきた？」何があった？,きのこを採って食べてからなんだかポジティブシンキング,2.6666666666666665
text,お見合いにて。「この女性、元ヤンキーだな…」その理由とは？,仲人をなー公と呼ぶ,2.6666666666666665
text,巨大ロボットが地球の平和を守るアニメ・ツヨインダーＡ。,ロボがデカ過ぎ 基地バレる,2.6666666666666665
text,「あめんぼ,あしたも 出勤 バカやろう,2.6666666666666665
text,セレブ小学校の卒業式。呼びかけで何と言った？,「笑いが止まらなかった」「一般学校見学」,4.0
text,夜中の３時に山下さんから電話が。「今,牛乳こぼしたら北海道の形になった,4.0
text,スキージャンプの試合。「こいつには勝てる！」その理由とは？,コーチに「ハの字って俺から見て？」,4.0
text,ふなっしーが商店街を散歩する番組「ふな散歩」。街の人が「はあ？」何と言った？,町全体が梨のご機嫌をうかがうこの状況って異常だよね,3.3333333333333335
text,週刊少年ヨンデーに連載中の漫画。日本一の書道家を目指す“熱血！書道少年シュウジ”どんなの？,「書道なんかやめてテニスやろうぜ！」と熱く語る弟のシュウゾウ,4.0
text,5人組のヒーロー戦隊が、子供たちからブーイング。その理由とは？,照れがある,2.6666666666666665
text,ゆとり世代5人が変身！ヒーロー戦隊「ユトレンジャー」今週のタイトルとは？,「『怪人が出たので』は先輩の誘いを断る口実に便利！」の巻,3.3333333333333335
text,「この美容室、来るんじゃなかった」その理由とは？,となりで犬がトリミング中,2.6666666666666665
text,世界初！ダイオウイカの撮影に成功。その後に言うことか？どんなナレーション？,私これくらいの抱き枕持ってます,2.6666666666666665
text,地球の平和を守る巨大ヒーローが敵にメロメロ！？萌え萌え星人何と言った？,本当はこんな戦いより夏祭り…行きたかったな…,3.3333333333333335
text,セレブ小学校の卒業式。呼びかけで何と言った？,「初めてクラスが一つになった」「リーマンショック～」,4.0
text,なんじゃそれ！東京オシャレ大学の入試問題。どんなの？,受験票の写真は全身,4.0
text,将来「ミスターロマンチック」と呼ばれる小学４年生・夢野ろまん君がつぶやいた一言とは？,キミが生まれた年の麦茶だよ,2.6666666666666665
text,みんなから「ダメだこりゃ…」と言われるアホアホ中学校将棋部。どんなの？,対局中周りから「飛車取って行こうぜー」みたいな声援が飛ぶ,0.0
text,ダメダメドキュメント番組「マグロVS漁師」。どんなシーンがありそう？,よーく見てたら途中から体にいいサプリを紹介しだした,4.0
text,この屋台のおでん屋 ダメだなぁ。どんなの？,不安定な椅子にこんにゃくをかませている,4.0
text,2025年、大河ドラマ「鈴木奈々」放送決定！どんなシーンがありそう？,見上げた空に ほほ笑む出川哲朗,4.0
text,女性とつきあったことのない男たちが変身！「ウブレンジャー」今週のタイトルとは？,「いろいろあってレッドのおかんがピンクに！」の巻,2.6666666666666665
text,この２時間サスペンス、ダメだなあ・・・。なぜ？,回想シーンは皆で上を見て「ファンファンファンファンファ～ン」,2.6666666666666665
text,サッカー中継。解説者席の前園さん「ちゃんとやってください」何と言った？,ひどいラフプレーですねえ酒でも飲んでるんでしょうか,4.0
text,このサンタクロース、トナカイにナメられてるな～。どうして？,「プリーズ」を付けないと走らない,4.0
text,ＮＨＫの人気キャラクターななみちゃんが料理番組のゲストに。「ニセモノだろ！」何と言った？,にがぁっ！,2.6666666666666665
text,子どもがおつかいをする番組。ゲストの蛭子さん、ニヤニヤしながら何と言った？,森口さん何で泣いてるのー,4.0
text,友だちとやった鍋パーティーが盛り上がりません。その理由とは？,菜箸で食べまくる友人,2.6666666666666665
text,ＤＪ ＫＯＯさん。京都のライブで「浮かれてるなあ…」ライブ中に何と叫んだ？,まずはこの曲！宇～治～ ＤＯ ＤＡＮＣＥ,4.0
text,HIPHOPアーティスト・MCセレブ。ラップで何と歌った？,♪オレたちセレブだ 一番金持ち フタについたもの ほとんどなめない,4.0
text,お涙戦隊「ナカセルンジャー」今週のタイトルとは？,「おばあちゃんのロボット」の巻,4.0
text,サラリーマン川柳ならぬ「くいしんぼう川柳」とは？,何食うか悩んだ挙げ句全部食う,2.6666666666666665
text,モテない男日本一決定戦。どんな対決がありそう？,続いては 全力のオシャレしてどんだけ爆笑おこせるか対決！,4.0
text,○○ベスト３！,母から聞きたくない事ベスト３！３位：ぐち２位：小言１位：男性遍歴,0.0
text,ちびっこスケート教室。子どもたちが「えっ！？」織田信成さん何と言った？,まず一句『鳴かぬなら泣きに泣きますホトトギス』,4.0
text,なんじゃそれ！月刊「傘」の特集とは？,特集！ 折りたたみ傘のシワで分かる今日の運勢,2.6666666666666665
text,この本屋さん、ダメだなあ。その理由とは？,買うのにいちいち理由がいる,4.0
text,NHKの人気キャラクターななみちゃんのTwitterに「はは～ん、ニセモノだな」何とつぶやいた？,どれだけ泥水すすってきたと思ってんだよ,4.0
text,全校生徒から「何だか不気味」と言われる恐川貞子先生が野球部の応援に。どうなった？,カメラがどこを写しても恐川先生がカメラ目線でほほえんでいる,2.6666666666666665
text,動物園の飼育員にウケそうなあるあるネタとは？,休み明けはヤギが冷たい,4.0
text,アイドルグループのメンバー卒業公演。「あ、私祝福されてないな・・・」その理由とは？,「それでは、元メンバーからご挨拶です」,2.6666666666666665
text,ビーチバレー。「こいつと組むんじゃなかった」その理由とは？,点を取られたらしばし海を眺める,4.0
text,“生さだ”のお便り募集。「何じゃそのテーマ！？」さだまさしさん、何と言った？,俺の握手券付きＣＤが出たら何枚買う？,4.0
text,京都にて。「この舞妓さんなんかイヤ…。」なぜ？,イヤホンしながら街歩き,0.0
text,この喫茶店、イヤだなあ…。その理由とは？,空手道場も兼ねている,4.0
text,「この公園、遊びにくいなあ・・・」その理由とは？,ブランコにはいつものサラリーマン,4.0
text,31年間売れない演歌歌手・下積長子が始めた「下積川柳 秋」とは？,憎らしい 葉っぱごときが 色づいて,4.0
text,ＮＨＫの人気キャラクターななみちゃんがビーチでリポート。「ニセモノだろ！」何と言った？,あそこでナンパしてる人たち必死だね,2.6666666666666665
text,「そんなこといちいちパパに報告しなくていい！」高橋真麻さん、何と言った？,さっきの生放送でもしっかり爪痕残してきたわ！,2.6666666666666665
text,１０文字作文。テーマは「めんどくさっ」,吉本の福山雅治で～す,4.0
text,親が大富豪のアイドル「大金モチ子」ってどんなアイドル？,「私のことはキラいでも…お金のことはキラいにならないで下さい！」,4.0
text,今はやりのしゃべる冷蔵庫。「余計なこと言うなぁ…」何と言った？,あれー？水素水もう飽きちゃったんですか？,2.6666666666666665
text,西遊記。孫悟空たちが三蔵法師にイラッ！その理由とは？,「お昼にしますか」と言わず「エサ食うか」と聞いてくる,4.0
text,なんじゃそれ！月刊「栗」の特集とは？,特集！ほどいたモンブランを戻してみた,2.6666666666666665
text,カリスマロック歌手・シャウト矢吹が温泉旅行に。「やっぱりロックだなあ」何をした？,足湯にダイブした,2.6666666666666665
text,映画の主役が「ここのスタッフ、ダメだな・・・」何があった？,キスシーンで「ヒューヒュー」とひやかす,4.0
text,世界初！ダイオウイカの撮影に成功。その後に言うことか？どんなナレーション？,このような優雅な老後を送りたいものです,4.0
text,子どもたちが書いた七夕の短冊を見てどんより。何と書いてあった？,お父さんが公園に行かなくなりますように,4.0
text,ドラマ「ぼくのママは悪役レスラー」どんなシーンがありそう？,悪役メイクのまま高熱を出した息子を学校に迎えに行く,4.0
text,この女性アイドルのカレンダー、ダメだなぁ･･･。その理由とは？,毎月お金を数えている,0.0
text,上司に気に入られることばかり考えている若手社員タイコモチオ。「そこまでするか！」接待ゴルフで何をした？,「やっぱり品のあるＯＢと品のないＯＢがありますね」,2.6666666666666665
text,ラジオ番組。「ははぁ～ん、このあとデートだな…」女性ＤＪ何と言った？,道路交通情報センターの小池さん南青山の渋滞情報だけで結構です,4.0
